Taxonomy,Topics,Subtopics,Subgroups,Elements,
Government,,Digital security,,,
Government,,,End user devices,,
Government,,,Risk management,,
Government,,,Cloud security,,
Government,,,Email,,
Government,,,Passwords,,
Government,,,Phishing ,,
Government,,,Identity assurance,,
Government,,,Digital service security,,
Government,,Open source and open standards,,,
Government,,,Open standards,,
Government,,,Open source,,
Government,,GOV.UK services,,,
Government,,,Performance platform,,
Government,,,GovWifi,,
Government,,,GOV.UK Pay,,
Government,,,GOV.UK Registers,,
Government,,,GOV.UK Proposition,,
Government,,,GOV.UK Platform as a Service (PaaS),,
Government,,,GOV.UK Verify,,
Government,,,GOV.UK Notify,,
Government,,Networks and telecommunications,,,
Government,,,Telecommunications,,
Government,,,Networking,,
Government,,Data,,,
Government,,,Data usage,,
Government,,,Data provisioning,,
Government,,Design and build of government services,,,
Government,,,Digital Service Standard,,
Government,,,Design principles,,
Government,,,Government content and publishing,,
Government,,Digital inclusion,,,
Government,,Digital accessibility,,,
Government,Sustainable development,,,,
Government,,Renewable energy technologies,,,
Government,Cyber security,,,,
Government,Europe,,,,
Government,,European single market,,,
Government,,European Union laws and regulation,,,
Government,,European funds,,,
Government,Democracy,,,,
Government,,Voting,,,
Government,,Constitutional affairs,,,
Government,,Legislative process,,,
Government,Government reform ,,,,
Government,,Postal service reform,,,
Government,,Civil service reform,,,
Work,,,,,
Work,Secondments with government,,,,
Work,Government graduate schemes,,,,
Work,Self-employment,,,,
Work,,Tax and National Insurance,,,
Work,,Paying HMRC,,,
Work,,Stopping or selling your business,,,
Work,,Managing expenses,,,
Work,,Self Assessment,,,
Work,Labour market reform,,,,
Work,Health and safety reform,,,,
Work,Work and disabled people,,,,
Work,"Working, jobs and pensions",,,,
Work,,Recruiting and hiring,,,
Work,,Finding a job,,,
Work,,"Your pay, tax and the National Minimum Wage",,,
Work,,Workplace bullying and harassment,,,
Work,,"Holidays, time off, sick leave, maternity and paternity leave",,,
Work,,Workplace and personal pensions,,,
Work,,Your rights at work and trade unions,,,
Work,,,Temporary and agency workers,,
Work,,,Vulnerable workers,,
Work,,State Pension,,,
Work,,Contracts and working hours,,,
Work,,"Redundancies, dismissals and disciplinaries",,,
Work,Payroll,,,,
Work,Trade unions,,,,
Work,Health and safety at work,,,,
Work,,Ergonomics,,,
Work,,,Home working ,,
Work,,,DSE (display screen equipment),,
Work,,,Pharmacy,,
Work,,Transport (workplace),,,
Work,,,LOLER (lifting operations and lifting equipment regulations),,
Work,,Voluntary organisations,,,
Work,,Electrical safety,,,
Work,,Drugs and alcohol,,,
Work,,Pressure systems,,,
Work,,Young workers,,,
Work,,Lone workers,,,
Work,,Nanotechnology,,,
Work,,Managing for health and safety,,,
Work,,Maintenance,,,
Work,,Expectant mothers,,,
Work,,Appointed doctors,,,
Work,,CDM (construction design and management),,,
Work,,Human factors,,,
Work,,First aid at work,,,
Work,,Temperature,,,
Work,,Stress,,,
Work,,PAT testing (portable appliance testing),,,
Work,,Slips and trips,,,
Work,,Pipelines,,,
Work,,Biosafety,,,
Work,,,GMOs (genetically modified organisms) Contained Use,,
Work,,,Infections at work,,
Work,,Confined spaces,,,
Work,,Airborne hazards,,,
Work,,,Legionnaires' Disease,,
Work,,,LEV (local exhaust ventilation),,
Work,,,Lung disease,,
Work,,,RPE (respiratory protective equipment),,
Work,,,Asthma,,
Work,,,Asbestos,,
Work,,,Lead,,
Work,,Working at height,,,
Work,,,Falls from height,,
Work,,Skin at work,,,
Work,,Cancer (occupational),,,
Work,,Noise,,,
Work,,Compressed air,,,
Work,,Metalworking fluids,,,
Work,,The Control of Substances Hazardous to Health (COSHH),,,
Work,,,Dust,,
Work,,,Welding,,
Work,,,COPD (chronic obstructive pulmonary disease),,
Work,,Manual handling,,,
Work,,Vibration,,,
Work,,Musculoskeletal disorders,,,
Work,,,Back pain,,
Work,Pensions and ageing society,,,,
Work,,Older people,,,
Work,,Public service pensions,,,
Work,,Automatic enrolment in workplace pensions,,,
Work,,State Pension simplification,,,
Work,,Older workers,,,
Work,,State Pension age,,,
Money,,,,,
Money,Expenses and employee benefits,,,,
Money,"Court claims, debt and bankruptcy",,,,
Money,Money laundering regulations,,,,
Money,,Registration for specific business types,,,
Money,,Your role under the regulations,,,
Money,,Problems and compliance checks,,,
Money,Business tax,,,,
Money,,Climate Change Levy,,,
Money,,Business tax reform,,,
Money,,VAT,,,
Money,,,Accounting for VAT,,
Money,,,Exporting goods and services,,
Money,,,Paying,,
Money,,,Exchange rates,,
Money,,,Overseas businesses and UK VAT,,
Money,,,VAT MOSS,,
Money,,,Charging VAT,,
Money,,,Rules for particular trades,,
Money,,,VAT returns,,
Money,,,Importing goods and services,,
Money,,,Reclaiming VAT on a new home,,
Money,,Fuel Duty,,,
Money,,,Moving and storing goods,,
Money,,,Payments and reliefs (Fuel duty),,
Money,,Alcohol duties,,,
Money,,,Moving and storing goods,,
Money,,,Payments and reliefs (Alcohol duty),,
Money,,Pension scheme administration,,,
Money,,,Administering a pension scheme,,
Money,,,Tax on pensions,,
Money,,,Pension scheme trustees,,
Money,,,Paying into a pension scheme,,
Money,,,Overseas schemes,,
Money,,International tax,,,
Money,,,Oil and gas,,
Money,,,Shipping,,
Money,,,Double taxation,,
Money,,Stamp duty and other tax on property,,,
Money,,,Stamp Duty before December 2003,,
Money,,,Pay your SDLT bill,,
Money,,,SDLT on specific transactions,,
Money,,,Annual Tax on Enveloped Dwellings,,
Money,,,Filing a SDLT return,,
Money,,Investment schemes,,,
Money,,,Collective Investment Schemes,,
Money,,,Venture capital schemes,,
Money,,Landfill Tax,,,
Money,,,Payments and reliefs (landfill tax),,
Money,,Corporation Tax,,,
Money,,,Preparing accounts for Corporation Tax,,
Money,,,Changes to your company,,
Money,,,Working out your Corporation Tax,,
Money,,,Filing your return,,
Money,,,Reliefs,,
Money,,,Payments and refunds,,
Money,,Gambling duties,,,
Money,,,Bingo Duty,,
Money,,,Lottery Duty,,
Money,,,Gaming Duty,,
Money,,,Machine Games Duty,,
Money,,,"General Betting Duty, Pool Betting Duty and Remote Gaming Duty",,
Money,,,Paying HMRC,,
Money,,Employment related securities,,,
Money,,,National Insurance transfers,,
Money,,,Returns and notifications,,
Money,,,Asset valuation,,
Money,,,SAYE bonus rates,,
Money,,Construction Industry Scheme (CIS),,,
Money,,,Contractors,,
Money,,,Payments,,
Money,,,Subcontractors,,
Money,,Tobacco Products Duty,,,
Money,,,Moving and storing goods,,
Money,,,Payments and reliefs (tobacco products duty),,
Money,,Aggregates Levy,,,
Money,,,Payments and reliefs (aggregates levy),,
Money,,Air Passenger Duty,,,
Money,,Capital allowances,,,
Money,,Stamp duty on shares,,,
Money,,,Stamp tax on paper shares,,
Money,,,Stamp tax on electronic shares,,
Money,,IR35: working through an intermediary,,,
Money,,,Employment intermediaries,,
Money,,,Off-payroll working rules,,
Money,,,Employment status,,
Money,,Life insurance policies,,,
Money,,Insurance Premium Tax,,,
Money,,,Paying Insurance Premium Tax,,
Money,,PAYE,,,
Money,,,Registering and getting started,,
Money,,,Paying HMRC,,
Money,,,Annual PAYE and payroll tasks,,
Money,,,"Employees joining, leaving or changing their circumstances",,
Money,,,Expenses and benefits,,
Money,,,Changes to the business that affect PAYE,,
Money,,,Statutory pay and leave,,
Money,,,Special types of employee pay,,
Money,,Large and mid-size business,,,
Money,,,Mid-sized businesses,,
Money,,,Large businesses,,
Money,Dealing with HMRC,,,,
Money,,Paying HMRC,,,
Money,,,Inheritance Tax,,
Money,,,Pension schemes,,
Money,,,Tax credit overpayments,,
Money,,,Alcohol duties,,
Money,,,Child Benefit overpayments,,
Money,,,Property taxes,,
Money,,,Corporation Tax,,
Money,,,Money laundering regulation fees,,
Money,,,Shares,,
Money,,,VAT,,
Money,,,Transport and environmental duties,,
Money,,,Payment problems,,
Money,,,Construction Industry Scheme (through PAYE),,
Money,,,Insurance Premium Tax,,
Money,,,Capital Gains Tax,,
Money,,,Income Tax and National Insurance,,
Money,,,Gambling duties,,
Money,,,PAYE ,,
Money,,Tax agent and adviser guidance,,,
Money,,,Working with HMRC - joint initiatives,,
Money,,,Appeals and penalties,,
Money,,,Agent authorisation,,
Money,,,Compliance checks,,
Money,,,Money laundering regulations,,
Money,,Complaints and appeals,,,
Money,,Phishing and scams,,,
Money,,Tax compliance,,,
Money,,,Disclosing offshore income,,
Money,,,Reporting tax evasion,,
Money,,,International agreements and FATCA,,
Money,,,Disputes,,
Money,,,Clearances and approvals,,
Money,,,Non-payment and fraud,,
Money,,,Compliance checks,,
Money,,Tax avoidance,,,
Money,,,Identifying avoidance schemes,,
Money,,,Disclosing avoidance schemes,,
Money,,,Disguised remuneration schemes,,
Money,,Shared Workspace service,,,
Money,,Software development for HMRC,,,
Money,,,HMRC recognition scheme,,
Money,,,New to HMRC development,,
Money,,,Working in partnership,,
Money,,,Software development support,,
Money,Personal tax,,,,
Money,,Living or working abroad or offshore,,,
Money,,,Living and working abroad,,
Money,,,Rules for specific occupations,,
Money,,Tax on savings and investments,,,
Money,,,Tax on shares,,
Money,,,Tax efficient savings and investments,,
Money,,,Tax on savings,,
Money,,,Guidance for financial institutions,,
Money,,Leaving the UK,,,
Money,,Non-resident landlord scheme,,,
Money,,Trusts,,,
Money,,Inheritance Tax,,,
Money,,,Wills and probate,,
Money,,,Reliefs,,
Money,,,Working out the tax,,
Money,,,Paying HMRC,,
Money,,Self Assessment,,,
Money,,,Paying your tax bill,,
Money,,,"Refunds, appeals and penalties",,
Money,,,Records you must keep,,
Money,,,Filing a tax return,,
Money,,,Registering for Self Assessment,,
Money,,Income Tax,,,
Money,,,"Rates, allowances and reliefs",,
Money,,,Pensions,,
Money,,,Scottish rate of Income Tax,,
Money,,,Student jobs and loans,,
Money,,,Company benefits and share schemes,,
Money,,,Overpayments and underpayments,,
Money,,,Special types of pay,,
Money,,,Welsh rate of Income Tax,,
Money,,Capital Gains Tax,,,
Money,,,Business,,
Money,,,Property,,
Money,,,Shares and investments,,
Money,,,Personal possessions,,
Money,,,Divorce and separation,,
Money,,,Paying HMRC,,
Money,,Coming to the UK,,,
Money,,National Insurance,,,
Money,,,Refunds,,
Money,,,National Insurance numbers,,
Money,,,Voluntary contributions,,
Money,,,Rates and classes,,
Money,,Foreign entertainer tax rules,,,
Money,,Personal tax reform,,,
Money,Tax evasion and avoidance,,,,
Money,Fees for intervention,,,,
Business and industry,,,,,
Business and industry,Running a business,,,,
Business and industry,,RIDDOR (reporting incidents diseases and dangerous occurrence regulations),,,
Business and industry,,"ESQCR (reporting incidents - Electricity Safety, Quality and Continuity Regulations)",,,
Business and industry,,Leading health and safety at work,,,
Business and industry,,Appointed doctors,,,
Business and industry,,Business finance and support,,,
Business and industry,,Business premises and business rates,,,
Business and industry,,Limited companies and partnerships,,,
Business and industry,,,Overseas companies and European companies,,
Business and industry,,,Partnerships,,
Business and industry,,,"Company closure, administration, liquidation and insolvency ",,
Business and industry,,,Company names,,
Business and industry,,,Directorship disqualification,,
Business and industry,,Employing people,,,
Business and industry,,,Payroll,,
Business and industry,,,Recruiting and hiring,,
Business and industry,,,Dismissing staff and redundancies,,
Business and industry,,Business licensing ,,,
Business and industry,,,Alcohol licensing ,,
Business and industry,,,Gambling regulation,,
Business and industry,,Business debt and bankruptcy,,,
Business and industry,,"Business auditing, accounting and reporting",,,
Business and industry,Corporate governance,,,,
Business and industry,,Corporate manslaughter,,,
Business and industry,Business regulation,,,,
Business and industry,,Competition,,,
Business and industry,,,Competition Act and cartels,,
Business and industry,,,Mergers,,
Business and industry,,,Markets,,
Business and industry,,,Regulatory appeals and references,,
Business and industry,,,Competition law,,
Business and industry,,Intellectual property,,,
Business and industry,,,Patents,,
Business and industry,,,Trade marks,,
Business and industry,,,Designs,,
Business and industry,,,Copyright,,
Business and industry,,Product safety,,,
Business and industry,,Energy industry and infrastructure licensing and regulation,,,
Business and industry,,,Nuclear safety,,
Business and industry,,Sale of goods and services and data protection,,,
Business and industry,,Regulation reform,,,
Business and industry,,,Company law reform,,
Business and industry,,Consumer rights and issues,,,
Business and industry,,,Consumer protection,,
Business and industry,,,Consumer credit market,,
Business and industry,,State aid,,,
Business and industry,Charities and social enterprises,,,,
Business and industry,,Community interest companies,,,
Business and industry,,"Charity money, tax and accounts",,,
Business and industry,,Fundraising,,,
Business and industry,,Trustee role and board,,,
Business and industry,Science and innovation,,,,
Business and industry,,Space,,,
Business and industry,,Animal research and testing,,,
Business and industry,,Research and development,,,
Business and industry,,Scientific research and development,,,
Business and industry,Trade and investment,,,,
Business and industry,,"Customs declarations, duties and tariffs (import and export)",,,
Business and industry,,,Rules for specific goods and services,,
Business and industry,,,Exchange rates,,
Business and industry,,,Get goods through customs,,
Business and industry,,,UK Trade Tariff and classification of goods,,
Business and industry,,,Customs Freight Simplified Procedures,,
Business and industry,,,Commodity codes and reporting,,
Business and industry,,Digital trade,,,
Business and industry,,Exporting,,,
Business and industry,,,Embargoes and sanctions,,
Business and industry,,,Export controls and licensing,,
Business and industry,,,Export finance,,
Business and industry,,,Trade restrictions on exports,,
Business and industry,,,Licences and special rules,,
Business and industry,,Trade barriers,,,
Business and industry,,Importing,,,
Business and industry,,,Commodity codes and reporting,,
Business and industry,,,Wood packaging,,
Business and industry,,,Import controls,,
Business and industry,,Inward investment,,,
Business and industry,,Outward investment,,,
Business and industry,,Free trade,,,
Business and industry,,Overseas businesses: exporting to the UK,,,
Business and industry,Manufacturing,,,,
Business and industry,UK economy,,,,
Business and industry,,Economics of health and safety,,,
Business and industry,,UK economic growth,,,
Business and industry,,,Economic development in coastal and seaside areas,,
Business and industry,,,Management of the European Regional Development Fund,,
Business and industry,,,Local Enterprise Partnerships (LEPs) and Enterprise Zones,,
Business and industry,,City deals and growth deals,,,
Business and industry,,Regional growth fund,,,
Business and industry,,High streets and town centres,,,
Business and industry,Industrial strategy,,,,
Business and industry,Business and the environment,,,,
Business and industry,,UK energy security,,,
Business and industry,,Energy demand reduction,,,
Business and industry,Media and communications,,,,
Business and industry,,Communications and telecomms,,,
Business and industry,,Broadband investment,,,
Business and industry,,Media and creative industries,,,
Business and industry,Financial services,,,,
Business and industry,,Access to financial services,,,
Business and industry,,Financial services regulation,,,
Business and industry,,Bank regulation,,,
Health and social care,,,,,
Health and social care,Social care,,,,
Health and social care,,Health and social care integration,,,
Health and social care,,End of life care,,,
Health and social care,,Carers' health,,,
Health and social care,Disabled people,,,,
Health and social care,,Disability equipment and transport,,,
Health and social care,,Carers,,,
Health and social care,,Disability rights,,,
Health and social care,,Benefits and financial help,,,
Health and social care,National Health Service,,,,
Health and social care,,Patient safety,,,
Health and social care,,NHS efficiency,,,
Health and social care,,Compassionate care in the NHS,,,
Health and social care,,Health workforce,,,
Health and social care,,,Health and social care training,,
Health and social care,,,Careers in health and social care,,
Health and social care,Public health,,,,
Health and social care,,Abortion,,,
Health and social care,,Ophthalmology,,,
Health and social care,,Dentistry ,,,
Health and social care,,Health conditions,,,
Health and social care,,,Dementia,,
Health and social care,,,Autism,,
Health and social care,,,Learning disabilities,,
Health and social care,,,Obesity,,
Health and social care,,,Diabetes,,
Health and social care,,,Cancer research and treatment,,
Health and social care,,,Heart disease,,
Health and social care,,Mental health,,,
Health and social care,,,Mental health service reform,,
Health and social care,,Health improvement,,,
Health and social care,,,Healthy eating,,
Health and social care,,,Smoking,,
Health and social care,,,Drug misuse and dependency,,
Health and social care,,,Harmful drinking,,
Health and social care,,,Oral health,,
Health and social care,,,Exercise and physical activity,,
Health and social care,,Health protection,,,
Health and social care,,,Emergency response,,
Health and social care,,,Health horizon scanning,,
Health and social care,,,Infectious diseases,,
Health and social care,,,Immunisation,,
Health and social care,,,Antimicrobial resistance (AMR),,
Health and social care,,,Radiation protection,,
Health and social care,,,Laboratories and reference facilities,,
Health and social care,,,,GMOs (genetically modified organisms) Contained Use,
Health and social care,,,"Research, testing and standards",,
Health and social care,,,Health surveillance and reporting programmes,,
Health and social care,,,Chemical and environmental hazards,,
Health and social care,,,Health emergency planning,,
Health and social care,,,Migrant health,,
Health and social care,,Human fertilisation and embryology,,,
Health and social care,,Population screening programmes,,,
Health and social care,,,NHS infectious diseases in pregnancy screening (IDPS) programme,,
Health and social care,,,NHS newborn hearing screening programme (NHSP),,
Health and social care,,,NHS bowel cancer screening (BCSP) programme,,
Health and social care,,,NHS breast screening (BSP) programme ,,
Health and social care,,,NHS fetal anomaly screening programme (FASP),,
Health and social care,,,NHS newborn blood spot (NBS) screening programme,,
Health and social care,,,NHS sickle cell and thalassaemia (SCT) screening programme,,
Health and social care,,,NHS newborn and infant physical examination (NIPE) screening programme,,
Health and social care,,,NHS diabetic eye screening (DES) programme,,
Health and social care,,,NHS cervical screening (CSP) programme ,,
Health and social care,,,NHS abdominal aortic aneurysm (AAA) programme,,
Health and social care,,,Quality assurance in population screening,,
Health and social care,,Sexual and reproductive health,,,
Health and social care,Technology in health and social care,,,,
Health and social care,Research and innovation in health and social care,,,,
Health and social care,Blood regulation and safety,,,,
Health and social care,"Medicines, medical devices",,,,
Health and social care,,"Marketing authorisations, variations and licensing guidance",,,
Health and social care,,"Good practice, inspections and enforcement",,,
Health and social care,,"Manufacturing, wholesaling, importing and exporting medicines",,,
Health and social care,,Herbal and homeopathic medicines,,,
Health and social care,,"Vigilance, safety alerts and guidance",,,
Health and social care,,,Alerts and recalls,,
Health and social care,,Medical devices regulation and safety,,,
Health and social care,,Conferences and events,,,
Health and social care,,Clinical trials and investigations,,,
Health and social care,,Pharmacy,,,
Brexit,,,,,
Brexit,Brexit: guidance for individuals,,,,
Brexit,Brexit: business guidance,,,,
Coronavirus (COVID-19),,,,,
Coronavirus (COVID-19),Testing for coronavirus (COVID-19),,,,
Coronavirus (COVID-19),Volunteering and offering help during coronavirus,,,,
Coronavirus (COVID-19),Health and wellbeing during coronavirus,,,,
Coronavirus (COVID-19),"Healthcare workers, carers and care settings during coronavirus ",,,,
Coronavirus (COVID-19),"International travel, immigration and repatriation during coronavirus",,,,
Coronavirus (COVID-19),,Entering England during coronavirus,,,
Coronavirus (COVID-19),Support for businesses and self-employed people during coronavirus,,,,
Coronavirus (COVID-19),,Funding and support for businesses during coronavirus,,,
Coronavirus (COVID-19),,Your responsibilities as an employer during coronavirus,,,
Coronavirus (COVID-19),,Support for self-employed people and sole traders during coronavirus,,,
Coronavirus (COVID-19),,Managing your business during coronavirus,,,
Coronavirus (COVID-19),Housing and accommodation during coronavirus,,,,
Coronavirus (COVID-19),Driving and transport in the UK during coronavirus,,,,
Coronavirus (COVID-19),Vaccinations for coronavirus,,,,
Coronavirus (COVID-19),Work and financial support during coronavirus,,,,
Coronavirus (COVID-19),,Working safely during coronavirus,,,
Coronavirus (COVID-19),,Working from home during coronavirus,,,
Coronavirus (COVID-19),,Holiday and sick leave during coronavirus,,,
Coronavirus (COVID-19),,Childcare for workers during coronavirus,,,
Coronavirus (COVID-19),,Getting financial support during coronavirus,,,
Coronavirus (COVID-19),,Help with redundancy and finding work during coronavirus,,,
Coronavirus (COVID-19),"Education, universities and childcare during coronavirus",,,,
Coronavirus (COVID-19),,School curriculum and teaching during coronavirus,,,
Coronavirus (COVID-19),,"Student accommodation, travel and financial support during coronavirus",,,
Coronavirus (COVID-19),,Further and higher education and vocational training during coronavirus,,,
Coronavirus (COVID-19),,Funding and support for education providers during coronavirus,,,
Coronavirus (COVID-19),,"Closures, exams and managing a school or early years setting during coronavirus",,,
Coronavirus (COVID-19),,Pupil wellbeing and safety during coronavirus,,,
Coronavirus (COVID-19),Rules and restrictions during coronavirus,,,,
